feature,frequency,percentage
Brand,1326,61.08
Colour,735,33.86
Country of Origin,667,30.72
RAM Memory Installed Size,441,20.31
Style,433,19.94
Operating System,390,17.96
CPU Model,387,17.83
Material,369,17.0
Material type,310,14.28
Closure type,304,14.0
CPU Speed,298,13.73
Product Dimensions,241,11.1
Heel type,233,10.73
Water resistance level,230,10.59
Sole material,212,9.77
Special Feature,206,9.49
Connectivity Technology,200,9.21
Form Factor,187,8.61
Item Weight,173,7.97
Ear Placement,168,7.74
Watch movement type,150,6.91
Band colour,150,6.91
Case diameter,149,6.86
Fit type,149,6.86
Band material type,149,6.86
Audio Output Mode,146,6.73
Item weight,144,6.63
Warranty type,141,6.49
Speaker Maximum Output Power,141,6.49
Length,139,6.4
Material composition,135,6.22
Manufacturer,126,5.8
Screen Size,123,5.67
Impedance,112,5.16
Sleeve type,111,5.11
Net Quantity,107,4.93
Memory Storage Capacity,106,4.88
Care instructions,106,4.88
Collar style,101,4.65
Model Name,101,4.65
Frequency Response,98,4.51
Recommended Uses For Product,87,4.01
Mounting Type,79,3.64
Packer,79,3.64
Hard Disk Size,77,3.55
Customer Reviews,76,3.5
ASIN,75,3.45
Pattern,75,3.45
Display Type,73,3.36
Best Sellers Rank,72,3.32
Generic Name,68,3.13
Item Dimensions LxWxH,68,3.13
Size,64,2.95
Compatible Devices,61,2.81
Item model number,61,2.81
Date First Available,60,2.76
Neck style,58,2.67
Capacity,55,2.53
Item dimensions L x W x H,53,2.44
Product Type,53,2.44
Noise Control,48,2.21
Occasion type,46,2.12
Importer,45,2.07
Outer material,40,1.84
Included Components,40,1.84
Finish Type,40,1.84
Number of Items,39,1.8
Shape,37,1.7
Item Form,36,1.66
Specific Uses For Product,36,1.66
Water Resistance,35,1.61
Compatible Phone Models,34,1.57
Battery Capacity,32,1.47
Material Feature,29,1.34
Construction Type,28,1.29
Scent,26,1.2
Display Size,26,1.2
Gender,25,1.15
Connector Type,25,1.15
Strap Material,25,1.15
Item shape,22,1.01
Weave Type,22,1.01
Heart Rate Monitoring,22,1.01
Brightness,22,1.01
Dial Color,22,1.01
Price,21,0.97
Bluetooth Calling,21,0.97
Wireless Communication Standard,21,0.97
Towel form type,21,0.97
Occasion,20,0.92
Age Range (Description),20,0.92
Pile Height,19,0.88
Shelf Type,19,0.88
Handle Material,18,0.83
Power Source,18,0.83
Room Type,18,0.83
Input Voltage,18,0.83
Vehicle Service Type,18,0.83
Closure Type,17,0.78
GPS,16,0.74
Strap Color,16,0.74
