main_category,feature,frequency,percentage
Baby,Brand,1,100.0
Baby,Colour,1,100.0
Baby,Handle Material,1,100.0
Baby,Specific Uses For Product,1,100.0
Baby,Product Dimensions,1,100.0
"Bags, Wallets and Luggage",Colour,49,74.24
"Bags, Wallets and Luggage",Material,42,63.64
"Bags, Wallets and Luggage",Country of Origin,40,60.61
"Bags, Wallets and Luggage",Style,38,57.58
"Bags, Wallets and Luggage",Brand,32,48.48
"Bags, Wallets and Luggage",Item shape,19,28.79
"Bags, Wallets and Luggage",Special Feature,14,21.21
"Bags, Wallets and Luggage",Recommended Uses For Product,8,12.12
"Bags, Wallets and Luggage",Portability,7,10.61
"Bags, Wallets and Luggage",Display Type,7,10.61
"Bags, Wallets and Luggage",Product Type,6,9.09
"Bags, Wallets and Luggage",Closure Type,5,7.58
"Bags, Wallets and Luggage",Manufacturer,4,6.06
"Bags, Wallets and Luggage",Closure type,4,6.06
"Bags, Wallets and Luggage",Outer material,4,6.06
"Bags, Wallets and Luggage",Material type,4,6.06
"Bags, Wallets and Luggage",Design,4,6.06
"Bags, Wallets and Luggage",Size,4,6.06
"Bags, Wallets and Luggage",Shoe Compatibility,4,6.06
"Bags, Wallets and Luggage",Storage Use,4,6.06
"Bags, Wallets and Luggage",Travel Use,4,6.06
"Bags, Wallets and Luggage",Space Saving,4,6.06
"Bags, Wallets and Luggage",Protection,4,6.06
"Bags, Wallets and Luggage",Packer,3,4.55
"Bags, Wallets and Luggage",Included Components,3,4.55
"Bags, Wallets and Luggage",Number of pockets,3,4.55
"Bags, Wallets and Luggage",Strap type,3,4.55
"Bags, Wallets and Luggage",Fill Material,3,4.55
"Bags, Wallets and Luggage",Shape,3,4.55
"Bags, Wallets and Luggage",Age Range (Description),3,4.55
"Bags, Wallets and Luggage",Department,2,3.03
"Bags, Wallets and Luggage",ASIN,2,3.03
"Bags, Wallets and Luggage",Item Weight,2,3.03
"Bags, Wallets and Luggage",Item Dimensions LxWxH,2,3.03
"Bags, Wallets and Luggage",Net Quantity,2,3.03
"Bags, Wallets and Luggage",Generic Name,2,3.03
"Bags, Wallets and Luggage",Best Sellers Rank,2,3.03
"Bags, Wallets and Luggage",Care instructions,2,3.03
"Bags, Wallets and Luggage",Water Resistance,2,3.03
"Bags, Wallets and Luggage",Attachment Options,2,3.03
"Bags, Wallets and Luggage",Use,2,3.03
"Bags, Wallets and Luggage",Durability,2,3.03
"Bags, Wallets and Luggage",Material Features,2,3.03
"Bags, Wallets and Luggage",Opening Design,2,3.03
"Bags, Wallets and Luggage",Storage Capacity,2,3.03
"Bags, Wallets and Luggage",Gender,2,3.03
"Bags, Wallets and Luggage",Multi-Function Use,2,3.03
"Bags, Wallets and Luggage",Inner material,1,1.52
"Bags, Wallets and Luggage",Waterproof Zipper,1,1.52
"Bags, Wallets and Luggage",Reflectors,1,1.52
"Bags, Wallets and Luggage",Capacity,1,1.52
"Bags, Wallets and Luggage",Product Dimensions,1,1.52
"Bags, Wallets and Luggage",Band colour,1,1.52
"Bags, Wallets and Luggage",Band material type,1,1.52
"Bags, Wallets and Luggage",Watch movement type,1,1.52
"Bags, Wallets and Luggage",Item weight,1,1.52
"Bags, Wallets and Luggage",Model name,1,1.52
"Bags, Wallets and Luggage",Design Features,1,1.52
"Bags, Wallets and Luggage",Moving Wings,1,1.52
"Bags, Wallets and Luggage",Lighting,1,1.52
"Bags, Wallets and Luggage",Light Control,1,1.52
"Bags, Wallets and Luggage",Attachment Type,1,1.52
"Bags, Wallets and Luggage",Package Contents,1,1.52
"Bags, Wallets and Luggage",Item model number,1,1.52
"Bags, Wallets and Luggage",Importer,1,1.52
"Bags, Wallets and Luggage",Finish,1,1.52
"Bags, Wallets and Luggage",Mirror,1,1.52
"Bags, Wallets and Luggage",Clasp Type,1,1.52
"Bags, Wallets and Luggage",Design Details,1,1.52
"Bags, Wallets and Luggage",Weight,1,1.52
"Bags, Wallets and Luggage",Theme,1,1.52
"Bags, Wallets and Luggage",Lock Type,1,1.52
"Bags, Wallets and Luggage",Item dimensions L x W x H,1,1.52
"Bags, Wallets and Luggage",Organization Use,1,1.52
"Bags, Wallets and Luggage",Quantity,1,1.52
"Bags, Wallets and Luggage",Visibility,1,1.52
"Bags, Wallets and Luggage",Foldable,1,1.52
"Bags, Wallets and Luggage",Dust Resistance,1,1.52
"Bags, Wallets and Luggage",Scuff Resistance,1,1.52
"Bags, Wallets and Luggage",Customer Reviews,1,1.52
"Bags, Wallets and Luggage",Price,1,1.52
"Bags, Wallets and Luggage",Filling,1,1.52
"Bags, Wallets and Luggage",Fabric,1,1.52
"Bags, Wallets and Luggage",Cover Type,1,1.52
"Bags, Wallets and Luggage",Fixed Fit,1,1.52
"Bags, Wallets and Luggage",Support Design,1,1.52
"Bags, Wallets and Luggage",Recommended For,1,1.52
"Bags, Wallets and Luggage",Pattern,1,1.52
"Bags, Wallets and Luggage",Frame material,1,1.52
"Bags, Wallets and Luggage",Specific Uses For Product,1,1.52
"Bags, Wallets and Luggage",Finish Type,1,1.52
"Bags, Wallets and Luggage",Mounting Type,1,1.52
Beauty,Brand,14,93.33
Beauty,Material,13,86.67
Beauty,Product Dimensions,12,80.0
Beauty,Date First Available,12,80.0
Beauty,Manufacturer,12,80.0
Beauty,ASIN,12,80.0
Beauty,Country of Origin,12,80.0
Beauty,Item Weight,12,80.0
Beauty,Generic Name,12,80.0
Beauty,Best Sellers Rank,12,80.0
Beauty,Item model number,11,73.33
Beauty,Packer,11,73.33
Beauty,Item Dimensions LxWxH,11,73.33
Beauty,Net Quantity,11,73.33
Beauty,Customer Reviews,11,73.33
Beauty,Colour,10,66.67
Beauty,Importer,10,66.67
Beauty,Style,7,46.67
Beauty,Item dimensions L x W x H,5,33.33
Beauty,Age Range (Description),5,33.33
Beauty,Embellishment,5,33.33
Beauty,Theme,4,26.67
Beauty,Special Feature,3,20.0
Beauty,Item Form,3,20.0
Beauty,Bottle Type,3,20.0
Beauty,Capacity,3,20.0
Beauty,Hair Type,2,13.33
Beauty,Metal,1,6.67
Beauty,Small,1,6.67
Beauty,10,1,6.67
Beauty,Pearl,1,6.67
Beauty,Package Dimensions,1,6.67
Beauty,Towel form type,1,6.67
Beauty,Number of Items,1,6.67
Beauty,Item part number,1,6.67
Beauty,Department,1,6.67
Beauty,Included Components,1,6.67
Car & Motorbike,Brand,100,91.74
Car & Motorbike,Colour,93,85.32
Car & Motorbike,Material,66,60.55
Car & Motorbike,Product Dimensions,60,55.05
Car & Motorbike,Item Weight,37,33.94
Car & Motorbike,Customer Reviews,33,30.28
Car & Motorbike,Net Quantity,32,29.36
Car & Motorbike,Country of Origin,29,26.61
Car & Motorbike,Date First Available,28,25.69
Car & Motorbike,Manufacturer,28,25.69
Car & Motorbike,ASIN,28,25.69
