feature,value,frequency
Band material type,Stainless Steel,61
Band material type,Silicone,27
Band material type,Leather,24
Band material type,Resin,8
Band material type,Polyurethane,7
Band material type,Carbon Fibre,4
Band material type,Rubber,4
Band material type,Metal,3
Band material type,Silicon,2
Band material type,Titanium,2
Band material type,Fabric,2
Band material type,Fluororubber,1
Band material type,Plastic,1
Band material type,Two-tone Stainless Steel Bracelet,1
Band material type,Nylon,1
Band material type,Alloy Steel,1
Brand,Samsung,77
Brand,Motorola,53
Brand,realme,52
Brand,boAt,47
Brand,ZEBRONICS,37
Brand,HP,34
Brand,Portronics,32
Brand,Redmi,28
Brand,OnePlus,25
Brand,OPPO,24
Brand,JBL,23
Brand,vivo,19
Brand,POCO,18
Brand,Sony,15
Brand,Lenovo,15
Brand,Noise,13
Brand,Lava,13
Brand,Acer,13
Brand,PHILIPS,13
Brand,Generic,12
Brand,amazon basics,12
Brand,iQOO,12
Brand,pTron,11
Brand,GANESH,11
Brand,Scotch-Brite,11
Brand,Nothing,10
Brand,XIAOMI,10
Brand,Marshall,10
Brand,GOBOULT,10
Brand,Lifelong,9
Brand,Nokia,9
Brand,Roseate,9
Brand,Temperia,8
Brand,ShineXPro,8
Brand,Robustt,8
Brand,DETACHI,8
Brand,Sounce,8
Brand,HAMMER,8
Brand,Clazkit,8
Brand,Apple,7
Brand,ASUS,7
Brand,Ambrane,6
Brand,Honeywell,6
Brand,Tribit,6
Brand,Bose,6
Brand,Sennheiser,6
Brand,XMART INDIA,6
Brand,Dell,5
Brand,MILTON,5
Brand,Niwlix,4
Brand,ULTRA SHIELD,4
Brand,Involve your senses,4
Brand,SARTE,4
Brand,LS LAPSTER Quality Assured,4
Brand,E GATE,4
Brand,UCRAVO,4
Brand,SIAVANTAGE,4
Brand,Itel,4
Brand,Google,4
Brand,BLAUPUNKT,4
Brand,soundcore,4
Brand,Skullcandy,4
Brand,Logitech,4
Brand,Presto!,4
Brand,TEKCOOL,4
Brand,HomeWiz,4
Brand,THE SR BRAND,4
Brand,Amazon Brand - Solimo,4
Brand,TEX-RO,4
Brand,SIGNORA WARE,4
Brand,GLUN,3
Brand,SHOPOFLUX,3
Brand,Boldfit,3
Brand,Dyazo,3
Brand,Like Star,3
Brand,THEMISTO,3
Brand,AI+,3
Brand,Alcatel,3
Brand,Dubstep,3
Brand,Edifier,3
Brand,Sonos,3
Brand,Jabra,3
Brand,Audio-Technica,3
Brand,Bowers & Wilkins,3
Brand,Bang & Olufsen,3
Brand,VOLTURI,3
Brand,Kmils,3
Brand,ELLA,3
Brand,CÜRAA,3
Brand,Wonderchef,3
Brand,Story@Home,3
Brand,HealthSense,3
Brand,DALUCI,3
Brand,Lyrovo,2
Brand,Ishkaara,2
Brand,GoTrippin,2
Brand,SKADIOO,2
Brand,IONIX,2
Brand,MAXOSHINE,2
Brand,MICHELIN,2
Brand,SOFTSPUN,2
Brand,Godrej aer,2
Brand,APPUCOCO,2
