Category,Full Product Name,Brand,Price,Description,Features,Rating,Review Count,Availability,High Resolution Image,Image URL,Main Category,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Category Level 6,Category Level 7,Category Level 8,Product Category,Price Numeric,Review Count Numeric,Search Text
"Bags, Wallets and Luggage > Bags & Backpacks > Bag Accessories > Bag Covers",Boldfit Rain Cover for Backpack Travel Essentials Rain Cover for Bag Travel Accessories Bags Water Resistance Dustproof Waterproof for All Bag Sizes Elastic Adjustable for School College Office,Boldfit,₹150,"ultimate waterproof protection: crafted from durable polyester material, this rain cover for bags offers superior protection. our backpack cover provides unbeatable protection against rain, snow, and moisture, keeping your belongings dry and secure during outdoor adventures. with its durable, water repellent material and seamless construction, it ensures reliable protection for your gear in any weather conditions. adjustable buckle & elastic hem: this cover offers a customizable fit for various backpack sizes upto 45ltrs. whether you have a small daypack or a large hiking backpack, the adjustable buckle ensures a snug and secure fit, preventing the cover from slipping off during use. equipped with an elastic hem, this cover provides a tight seal around the edges of your backpack, further enhancing its water resistance. the elastic hem ensures a secure fit while allowing for easy installation and removal. secure fit: the polyester material is treated with a waterproof coating, making it highly resistant to water penetration. featuring adjustable straps and elastic edges, our backpack cover offers a snug and secure fit on backpacks of various sizes, preventing water from seeping in and safeguarding your belongings from water damage. this ensures that your backpack and its contents stay dry and protected even during light rainfall or wet conditions. compact and portable: when not in use, the cover can be conveniently folded and stored in your backpack's pouch. its lightweight and compact design make it easy to carry along on your outdoor adventures without adding unnecessary bulk. cleaning the cover is a breeze. simply wipe it down with a damp cloth or hand wash it with mild detergent and water. its quick-drying properties ensure that it's ready for use again in no time. versatile usage: suitable for a wide range of outdoor activities such as hiking, camping, cycling, and traveling, this backpack cover offers versatile protection for your gear in various environments and weather conditions. with its sleek design and functional features, this backpack cover seamlessly combines style with practicality. whether you're hitting the trails or navigating the urban jungle, you can trust this cover to keep your backpack safe and secure","{""Department"": ""Unisex-Adult"", ""Manufacturer"": ""Boldfit, Boldfit, Boldfit, Boldfit, Bangalore, 560041,support@boldfit.in,08043702806"", ""Country of Origin"": ""India"", ""ASIN"": ""B0D1CNN4MG"", ""Packer"": ""Boldfit, Bangalore, 560041,support@boldfit.in,08043702806"", ""Item Weight"": ""65 g"", ""Item Dimensions LxWxH"": ""16 x 11 x 3 Centimeters"", ""Net Quantity"": ""1 Count"", ""Included Components"": ""Rain Cover"", ""Generic Name"": ""BackPackCover"", ""Best Sellers Rank"": ""#18 in Bags, Wallets and Luggage (See Top 100 in Bags, Wallets and Luggage)\n#1 in Bag & Backpack Covers""}",4,3782,In Stock,https://m.media-amazon.com/images/I/51x3ASd5LhL._SX679_.jpg,https://m.media-amazon.com/images/I/51x3ASd5LhL._AC_UL320_.jpg,"Bags, Wallets and Luggage",Bags & Backpacks,Bag Accessories,Bag Covers,,,,,Bag Covers,150,3782,"boldfit rain cover for backpack travel essentials rain cover for bag travel accessories bags water resistance dustproof waterproof for all bag sizes elastic adjustable for school college office boldfit bag covers ultimate waterproof protection: crafted from durable polyester material, this rain cover for bags offers superior protection. our backpack cover provides unbeatable protection against rain, snow, and moisture, keeping your belongings dry and secure during outdoor adventures. with its durable, water repellent material and seamless construction, it ensures reliable protection for your gear in any weather conditions. adjustable buckle & elastic hem: this cover offers a customizable fit for various backpack sizes upto 45ltrs. whether you have a small daypack or a large hiking backpack, the adjustable buckle ensures a snug and secure fit, preventing the cover from slipping off during use. equipped with an elastic hem, this cover provides a tight seal around the edges of your backpack, further enhancing its water resistance. the elastic hem ensures a secure fit while allowing for easy installation and removal. secure fit: the polyester material is treated with a waterproof coating, making it highly resistant to water penetration. featuring adjustable straps and elastic edges, our backpack cover offers a snug and secure fit on backpacks of various sizes, preventing water from seeping in and safeguarding your belongings from water damage. this ensures that your backpack and its contents stay dry and protected even during light rainfall or wet conditions. compact and portable: when not in use, the cover can be conveniently folded and stored in your backpack's pouch. its lightweight and compact design make it easy to carry along on your outdoor adventures without adding unnecessary bulk. cleaning the cover is a breeze. simply wipe it down with a damp cloth or hand wash it with mild detergent and water. its quick-drying properties ensure that it's ready for use again in no time. versatile usage: suitable for a wide range of outdoor activities such as hiking, camping, cycling, and traveling, this backpack cover offers versatile protection for your gear in various environments and weather conditions. with its sleek design and functional features, this backpack cover seamlessly combines style with practicality. whether you're hitting the trails or navigating the urban jungle, you can trust this cover to keep your backpack safe and secure department: unisex-adult manufacturer: boldfit, boldfit, boldfit, boldfit, bangalore, 560041,support@boldfit.in,08043702806 country of origin: india asin: b0d1cnn4mg packer: boldfit, bangalore, 560041,support@boldfit.in,08043702806 item weight: 65 g item dimensions lxwxh: 16 x 11 x 3 centimeters net quantity: 1 count included components: rain cover generic name: backpackcover best sellers rank: #18 in bags, wallets and luggage (see top 100 in bags, wallets and luggage) #1 in bag & backpack covers"
"Bags, Wallets and Luggage > Bags & Backpacks > Messenger & Sling Bags","FLYNGO Sling Bag for Men Stylish Crossbody Backpack for Men & Women, Anti-Theft Chest Bag with USB Charging Port, Messenger Bags, Casual Shoulder Bag",Flyngo,₹569,"closure type zipper outer material polyester style western number of pockets 7 strap type cross-body material type polyester blend country of origin china multi-functional design : this shoulder bag is designed with a multifunctional approach, serving as a waist pack, crossbody bag, and travel sling. it’s perfect for various occasions and travel needs. the bag comes with an anti-theft feature, providing peace of mind when you’re out and about. unisex design : this bag is designed to be unisex, making it a versatile choice for both men and women. its practicality and stylish design make it a great option for anyone’s daily carry","{""Closure type"": ""Zipper"", ""Outer material"": ""Polyester"", ""Style"": ""Western"", ""Number of pockets"": ""7"", ""Strap type"": ""Cross-Body"", ""Material type"": ""Polyester Blend"", ""Country of Origin"": ""China""}",4.1,380,In Stock,https://m.media-amazon.com/images/I/61fjWKOxYpL._SY695_.jpg,https://m.media-amazon.com/images/I/61fjWKOxYpL._AC_UL320_.jpg,"Bags, Wallets and Luggage",Bags & Backpacks,Messenger & Sling Bags,,,,,,Messenger & Sling Bags,569,380,"flyngo sling bag for men stylish crossbody backpack for men & women, anti-theft chest bag with usb charging port, messenger bags, casual shoulder bag flyngo messenger & sling bags closure type zipper outer material polyester style western number of pockets 7 strap type cross-body material type polyester blend country of origin china multi-functional design : this shoulder bag is designed with a multifunctional approach, serving as a waist pack, crossbody bag, and travel sling. it’s perfect for various occasions and travel needs. the bag comes with an anti-theft feature, providing peace of mind when you’re out and about. unisex design : this bag is designed to be unisex, making it a versatile choice for both men and women. its practicality and stylish design make it a great option for anyone’s daily carry closure type: zipper outer material: polyester style: western number of pockets: 7 strap type: cross-body material type: polyester blend country of origin: china"
"Bags, Wallets and Luggage > Bags & Backpacks > Messenger & Sling Bags","FLYNGO Sling Bag for Men Stylish Crossbody Backpack for Men & Women, Anti-Theft Chest Bag with USB Charging Port, Messenger Bags, Casual Shoulder Bag",Flyngo,₹569,"closure type zipper outer material polyester style western number of pockets 7 strap type cross-body material type polyester blend country of origin china multi-functional design : this shoulder bag is designed with a multifunctional approach, serving as a waist pack, crossbody bag, and travel sling. it’s perfect for various occasions and travel needs. the bag comes with an anti-theft feature, providing peace of mind when you’re out and about. unisex design : this bag is designed to be unisex, making it a versatile choice for both men and women. its practicality and stylish design make it a great option for anyone’s daily carry","{""Closure type"": ""Zipper"", ""Outer material"": ""Polyester"", ""Style"": ""Western"", ""Number of pockets"": ""7"", ""Strap type"": ""Cross-Body"", ""Material type"": ""Polyester Blend"", ""Country of Origin"": ""China""}",4.1,380,In Stock,https://m.media-amazon.com/images/I/61ZO+EzjzWL._SY695_.jpg,https://m.media-amazon.com/images/I/61ZO+EzjzWL._AC_UL320_.jpg,"Bags, Wallets and Luggage",Bags & Backpacks,Messenger & Sling Bags,,,,,,Messenger & Sling Bags,569,380,"flyngo sling bag for men stylish crossbody backpack for men & women, anti-theft chest bag with usb charging port, messenger bags, casual shoulder bag flyngo messenger & sling bags closure type zipper outer material polyester style western number of pockets 7 strap type cross-body material type polyester blend country of origin china multi-functional design : this shoulder bag is designed with a multifunctional approach, serving as a waist pack, crossbody bag, and travel sling. it’s perfect for various occasions and travel needs. the bag comes with an anti-theft feature, providing peace of mind when you’re out and about. unisex design : this bag is designed to be unisex, making it a versatile choice for both men and women. its practicality and stylish design make it a great option for anyone’s daily carry closure type: zipper outer material: polyester style: western number of pockets: 7 strap type: cross-body material type: polyester blend country of origin: china"
"Bags, Wallets and Luggage > Bags & Backpacks > Messenger & Sling Bags",Sling Side Bag For Men | Anti-Theft Smart Waterproof Crossbody Chest Bag for Travel | Messenger Bags Casual Shoulder Bag for Men and Women (ALLBLACK),Generic,₹449,sling side bag for men. anti-theft smart waterproof crossbody chest bag for travel. messenger bags casual shoulder bag for men and women. closure type zipper outer material polyester style casual number of pockets 3 strap type adjustable material type polyester country of origin india 【compact yet spacious sling side bag】. a practical small backpack with impressive capacity. spacious main compartment fits a tablet or notebook. anti-theft design helps secure wallets and passports. works as a casual daypack or daily backpack purse. keeps everything neatly organized. 【anti-theft security lock】. equipped with a secure lock system to help protect your valuables from theft while on the move,"{""Closure type"": ""Zipper"", ""Outer material"": ""Polyester"", ""Style"": ""Casual"", ""Number of pockets"": ""3"", ""Strap type"": ""Adjustable"", ""Material type"": ""Polyester"", ""Country of Origin"": ""India""}",4.3,52,In Stock,https://m.media-amazon.com/images/I/714DnwKg6lL._SY695_.jpg,https://m.media-amazon.com/images/I/714DnwKg6lL._AC_UL320_.jpg,"Bags, Wallets and Luggage",Bags & Backpacks,Messenger & Sling Bags,,,,,,Messenger & Sling Bags,449,52,sling side bag for men | anti-theft smart waterproof crossbody chest bag for travel | messenger bags casual shoulder bag for men and women (allblack) generic messenger & sling bags sling side bag for men. anti-theft smart waterproof crossbody chest bag for travel. messenger bags casual shoulder bag for men and women. closure type zipper outer material polyester style casual number of pockets 3 strap type adjustable material type polyester country of origin india 【compact yet spacious sling side bag】. a practical small backpack with impressive capacity. spacious main compartment fits a tablet or notebook. anti-theft design helps secure wallets and passports. works as a casual daypack or daily backpack purse. keeps everything neatly organized. 【anti-theft security lock】. equipped with a secure lock system to help protect your valuables from theft while on the move closure type: zipper outer material: polyester style: casual number of pockets: 3 strap type: adjustable material type: polyester country of origin: india
"Bags, Wallets and Luggage > Bags & Backpacks > Messenger & Sling Bags",MATCH MADE Anti-theft Waterproof Chest Sling Bag for Men with Password Lock & USB Charging – Travel Hiking Crossbody Daypack Backpack,Match Made - The Storage Boutique,₹499,"multi-functional design : this shoulder bag is designed with a multifunctional approach, serving as a waist pack, crossbody bag, and travel sling. it’s perfect for various occasions and travel needs. the bag comes with an anti-theft feature, providing peace of mind when you’re out and about. how to set lock : 1.the password lock (modify password method); 2.the initial password is 000; 3.how to change the password for the first time: after turning the password wheel to the initial password number, hold down the unlock button and do not release it, then turn the password wheel to the password number you want to change, and release the button. remember that the number in the password round is the changed password. please note: the usb cable is typically stored in one of the bag's pockets and can be installed in the designated usb port for use. unisex design : this bag is designed to be unisex, making it a versatile choice for both men and women. its practicality and stylish design make it a great option for anyone’s daily carry","{""Care instructions"": ""Wipe with Damp Cloth (Exterior), Hand Wash Only (Interior)""}",3.9,64,In Stock,https://m.media-amazon.com/images/I/51KL9R3IA+L._SX679_.jpg,https://m.media-amazon.com/images/I/51KL9R3IA+L._AC_UL320_.jpg,"Bags, Wallets and Luggage",Bags & Backpacks,Messenger & Sling Bags,,,,,,Messenger & Sling Bags,499,64,"match made anti-theft waterproof chest sling bag for men with password lock & usb charging – travel hiking crossbody daypack backpack match made - the storage boutique messenger & sling bags multi-functional design : this shoulder bag is designed with a multifunctional approach, serving as a waist pack, crossbody bag, and travel sling. it’s perfect for various occasions and travel needs. the bag comes with an anti-theft feature, providing peace of mind when you’re out and about. how to set lock : 1.the password lock (modify password method); 2.the initial password is 000; 3.how to change the password for the first time: after turning the password wheel to the initial password number, hold down the unlock button and do not release it, then turn the password wheel to the password number you want to change, and release the button. remember that the number in the password round is the changed password. please note: the usb cable is typically stored in one of the bag's pockets and can be installed in the designated usb port for use. unisex design : this bag is designed to be unisex, making it a versatile choice for both men and women. its practicality and stylish design make it a great option for anyone’s daily carry care instructions: wipe with damp cloth (exterior), hand wash only (interior)"
"Bags, Wallets and Luggage > Bags & Backpacks > Messenger & Sling Bags","Niwlix Crossbody Sling Bag For Men & Women, Casual Chest Backpack Shoulder Messenger Bags",Niwlix,₹559,"care instructions wipe with damp cloth outer material polyester inner material polycotton closure type zipper country of origin china anti-theft security feature: this crossbody shoulder bag is suitable for various occasions and travel needs, featuring an anti-theft design that provides peace of mind when you're out and about multiple interior pockets: multiple interior pockets make it easy to carry a lot of items. the interior space is enough to hold a 9.7 inch tablet, wallet, keys, wipes, masks and other items. separate phone pocket with easy access waterproof and tear resistant material: the sling backpack is made of advanced nanomaterials with high quality waterproof and tear resistant properties. the waterproof material keeps the contents of the bag dry. the interior is made of high quality polyester fabric, which is durable and protects your items from accidental damage see more","{""Care instructions"": ""Wipe with Damp Cloth"", ""Outer material"": ""Polyester"", ""Inner material"": ""Polycotton"", ""Closure type"": ""Zipper"", ""Country of Origin"": ""China""}",4.3,283,In Stock,https://m.media-amazon.com/images/I/511Uf9WQQqL._SY695_.jpg,https://m.media-amazon.com/images/I/511Uf9WQQqL._AC_UL320_.jpg,"Bags, Wallets and Luggage",Bags & Backpacks,Messenger & Sling Bags,,,,,,Messenger & Sling Bags,559,283,"niwlix crossbody sling bag for men & women, casual chest backpack shoulder messenger bags niwlix messenger & sling bags care instructions wipe with damp cloth outer material polyester inner material polycotton closure type zipper country of origin china anti-theft security feature: this crossbody shoulder bag is suitable for various occasions and travel needs, featuring an anti-theft design that provides peace of mind when you're out and about multiple interior pockets: multiple interior pockets make it easy to carry a lot of items. the interior space is enough to hold a 9.7 inch tablet, wallet, keys, wipes, masks and other items. separate phone pocket with easy access waterproof and tear resistant material: the sling backpack is made of advanced nanomaterials with high quality waterproof and tear resistant properties. the waterproof material keeps the contents of the bag dry. the interior is made of high quality polyester fabric, which is durable and protects your items from accidental damage see more care instructions: wipe with damp cloth outer material: polyester inner material: polycotton closure type: zipper country of origin: china"
"Bags, Wallets and Luggage > Bags & Backpacks > Waist Packs","Carbonado Turtle Bags, Thigh Bag for Bikers, Fanny & Waist Bag for Man Woman; Multipurpose Water Repellent Utility Pouch, Cross Body, Strap to Leg & Hip for Motorcycling, Outdoor & Hiking",Carbonado,"₹1,450.","eva hardshell protection crossbody carry compatible weatherproof rugged build quick access storage compact 5l capacity accordion opening design organized storage layout detachable thigh strap waterproof zipper night safety reflectors. versatile attachments equipped with multiple attachment points, making it easy to secure additional gear or accessories. key holder ensuring your keys are securely stored for easy access. reflective trim at the bottom increased visibility and safety during low-lit areas. headphone cable opening includes a headphone cable opening (to be made by the user), allowing you to easily listen to music or take calls while on the go. fluid on-the-go design this drop-leg bag offers ample storage while remaining compact, making it a useful accessory for daily commutes or short trips. its minimalist form factor ensures fluid movement with easy access to your belongings. wide mouth opening it includes a main storage area, a front quick-access pocket, and internal mesh pockets, making it easy to keep your stuff organised and find what you need quickly. multiple compartments despite its compact size, it provides ample storage, perfect for commuting, or everyday use. across the shoulder easily sling the turtle across your shoulder for a comfortable, hands-free carrying option, perfect for on-the-go convenience. capacity: 5 litres (29 × 27 × 7 cm) the carbonado turtle waist bag is compact but surprisingly spacious. with an internal volume of roughly 5 litres (29 × 27 × 7 cm), it easily carries your daily essentials and sits comfortably as a waist or cross-body sling without feeling bulky. thigh bag wear it around your hip, secured by adjustable straps around your thighs for enhanced stability and quick access to your essentials","{""Water Resistance"": ""Weatherproof"", ""Waterproof Zipper"": ""Yes"", ""Reflectors"": ""Night Safety Reflectors"", ""Capacity"": ""5L capacity""}",4.5,2350,Not Available,https://m.media-amazon.com/images/I/71SIiCxem-L._SX679_.jpg,https://m.media-amazon.com/images/I/71SIiCxem-L._AC_UL320_.jpg,"Bags, Wallets and Luggage",Bags & Backpacks,Waist Packs,,,,,,Waist Packs,1450,2350,"carbonado turtle bags, thigh bag for bikers, fanny & waist bag for man woman; multipurpose water repellent utility pouch, cross body, strap to leg & hip for motorcycling, outdoor & hiking carbonado waist packs eva hardshell protection crossbody carry compatible weatherproof rugged build quick access storage compact 5l capacity accordion opening design organized storage layout detachable thigh strap waterproof zipper night safety reflectors. versatile attachments equipped with multiple attachment points, making it easy to secure additional gear or accessories. key holder ensuring your keys are securely stored for easy access. reflective trim at the bottom increased visibility and safety during low-lit areas. headphone cable opening includes a headphone cable opening (to be made by the user), allowing you to easily listen to music or take calls while on the go. fluid on-the-go design this drop-leg bag offers ample storage while remaining compact, making it a useful accessory for daily commutes or short trips. its minimalist form factor ensures fluid movement with easy access to your belongings. wide mouth opening it includes a main storage area, a front quick-access pocket, and internal mesh pockets, making it easy to keep your stuff organised and find what you need quickly. multiple compartments despite its compact size, it provides ample storage, perfect for commuting, or everyday use. across the shoulder easily sling the turtle across your shoulder for a comfortable, hands-free carrying option, perfect for on-the-go convenience. capacity: 5 litres (29 × 27 × 7 cm) the carbonado turtle waist bag is compact but surprisingly spacious. with an internal volume of roughly 5 litres (29 × 27 × 7 cm), it easily carries your daily essentials and sits comfortably as a waist or cross-body sling without feeling bulky. thigh bag wear it around your hip, secured by adjustable straps around your thighs for enhanced stability and quick access to your essentials water resistance: weatherproof waterproof zipper: yes reflectors: night safety reflectors capacity: 5l capacity"
"Bags, Wallets and Luggage > Luggage > Garment Storage Bags",Lyrovo Nylon 7Pcs Travel Packing Cubes For Clothes Laundry Toiletry Cosmetics Luggage Makeup Pouch Accessories Organizer Bag (Beige),Lyrovo,₹361,"【7 pcs packing cubes】travel packing cubes includes 3 different size packing cubes, 1 laundry bag, 1 underwear bag, 1 shoes bag , 1 toiletry bag. it can easily classify and organize your clothes and belongings, keeping your suitcase neat and organized, saving more space to store more items. make your travel more relaxed and happy, simple and free. 【high quality material】the packing organizers is made of tear-resistant nylon fabric material, which is durable and waterproof. the smooth and sturdy zipper make sure you open packing cubes quickly. strong stitching gives you sturdy and reusable travel accessory. 【lightweight and mesh design】lightweight and foldable luggage packing cubes that you can take anywhere. the mesh design makes it easy to identify and find the clothes and items you want. soft mesh top keeps clothes dry and odor free. 【large space】multiple sizes of travel organizer bags can hold your travel clothes, shoes, makeup. sort and store your travel items, organize them neatly in your suitcase for saving more space to carry more items. laundry bags hold your dirty clothes to keep clean items separate.save more time for your travels and or outside activities. 【multiple occasions】the luggage cubes can meet the needs of personal and family travel essentials. great for travel, vacation, business trips, camping and outdoor activities. it can also meet the daily storage of the family. brand lyrovo material nylon colour beige product dimensions 41l x 32w x 11h centimeters special feature lightweight, scratch resistant, sturdy zipper, tear-resistant recommended uses for product clothing, laundry, travel see more","{""Brand"": ""Lyrovo"", ""Material"": ""Nylon"", ""Colour"": ""Beige"", ""Product Dimensions"": ""41L x 32W x 11H Centimeters"", ""Special Feature"": ""Lightweight, Scratch Resistant, Sturdy zipper, Tear-resistant"", ""Recommended Uses For Product"": ""Clothing, Laundry, Travel""}",4.2,832,In Stock,https://m.media-amazon.com/images/I/61Npl24N0fL._SX679_.jpg,https://m.media-amazon.com/images/I/61Npl24N0fL._AC_UL320_.jpg,"Bags, Wallets and Luggage",Luggage,Garment Storage Bags,,,,,,Garment Storage Bags,361,832,"lyrovo nylon 7pcs travel packing cubes for clothes laundry toiletry cosmetics luggage makeup pouch accessories organizer bag (beige) lyrovo garment storage bags 【7 pcs packing cubes】travel packing cubes includes 3 different size packing cubes, 1 laundry bag, 1 underwear bag, 1 shoes bag , 1 toiletry bag. it can easily classify and organize your clothes and belongings, keeping your suitcase neat and organized, saving more space to store more items. make your travel more relaxed and happy, simple and free. 【high quality material】the packing organizers is made of tear-resistant nylon fabric material, which is durable and waterproof. the smooth and sturdy zipper make sure you open packing cubes quickly. strong stitching gives you sturdy and reusable travel accessory. 【lightweight and mesh design】lightweight and foldable luggage packing cubes that you can take anywhere. the mesh design makes it easy to identify and find the clothes and items you want. soft mesh top keeps clothes dry and odor free. 【large space】multiple sizes of travel organizer bags can hold your travel clothes, shoes, makeup. sort and store your travel items, organize them neatly in your suitcase for saving more space to carry more items. laundry bags hold your dirty clothes to keep clean items separate.save more time for your travels and or outside activities. 【multiple occasions】the luggage cubes can meet the needs of personal and family travel essentials. great for travel, vacation, business trips, camping and outdoor activities. it can also meet the daily storage of the family. brand lyrovo material nylon colour beige product dimensions 41l x 32w x 11h centimeters special feature lightweight, scratch resistant, sturdy zipper, tear-resistant recommended uses for product clothing, laundry, travel see more brand: lyrovo material: nylon colour: beige product dimensions: 41l x 32w x 11h centimeters special feature: lightweight, scratch resistant, sturdy zipper, tear-resistant recommended uses for product: clothing, laundry, travel"
"Bags, Wallets and Luggage > Travel Accessories > Keyrings & Keychains","LED Digital Display Keychain Watch, Plastic, Small, Unisex Sports Style, Square Electronic Clock with Keyring, Portable Digital Timepiece for Kids and Students Multicolor",Krizkey,₹169,"krizkey this stylish and modern digital keychain clock is the perfect blend of functionality and fashion, designed to keep you on time wherever you go. featuring a sleek rectangular shape and a bright led digital display, it offers a clear, easy-to-read view of the time, even in low light conditions. the compact and lightweight design makes it extremely convenient to carry simply attach it to your bag, backpack, or keys, and you’ll always have the time at your fingertips. crafted from high-quality, durable materials, this portable timepiece is built to resist scratches, impacts, and everyday wear, ensuring long-lasting performance and reliability. its minimalist yet trendy design adds a touch of elegance to your daily accessories, making it suitable for students rushing to classes, professionals managing a busy schedule, and travelers exploring new destinations. available in a variety of attractive colors, this mini digital watch is not only a practical tool but also a stylish statement piece. whether you’re heading to work, school, or on an adventure, this compact clock ensures you never lose track of time while adding a modern edge to your look. simple, durable, and effortlessly chic, it’s the perfect everyday companion for people who value both convenience and style. band colour multicolor band material type metal watch movement type quartz item weight 80 grams model name square mini electronic watch country of origin india stylish digital design: features a sleek rectangular shape with a bright led display for easy time reading anytime, anywhere. compact & portable: lightweight and pocket-sized, easily attachable to your bag, backpack, or keychain for on-the-go convenience. perfect for everyone: ideal for students, professionals, and travelers who need a practical yet fashionable way to keep track of time","{""Band colour"": ""Multicolor"", ""Band material type"": ""Metal"", ""Watch movement type"": ""Quartz"", ""Item weight"": ""80 Grams"", ""Model name"": ""Square mini electronic watch"", ""Country of Origin"": ""India""}",3.5,92,In Stock,https://m.media-amazon.com/images/I/41DAHwiBsmL.jpg,https://m.media-amazon.com/images/I/41DAHwiBsmL._AC_UY218_.jpg,"Bags, Wallets and Luggage",Travel Accessories,Keyrings & Keychains,,,,,,Keyrings & Keychains,169,92,"led digital display keychain watch, plastic, small, unisex sports style, square electronic clock with keyring, portable digital timepiece for kids and students multicolor krizkey keyrings & keychains krizkey this stylish and modern digital keychain clock is the perfect blend of functionality and fashion, designed to keep you on time wherever you go. featuring a sleek rectangular shape and a bright led digital display, it offers a clear, easy-to-read view of the time, even in low light conditions. the compact and lightweight design makes it extremely convenient to carry simply attach it to your bag, backpack, or keys, and you’ll always have the time at your fingertips. crafted from high-quality, durable materials, this portable timepiece is built to resist scratches, impacts, and everyday wear, ensuring long-lasting performance and reliability. its minimalist yet trendy design adds a touch of elegance to your daily accessories, making it suitable for students rushing to classes, professionals managing a busy schedule, and travelers exploring new destinations. available in a variety of attractive colors, this mini digital watch is not only a practical tool but also a stylish statement piece. whether you’re heading to work, school, or on an adventure, this compact clock ensures you never lose track of time while adding a modern edge to your look. simple, durable, and effortlessly chic, it’s the perfect everyday companion for people who value both convenience and style. band colour multicolor band material type metal watch movement type quartz item weight 80 grams model name square mini electronic watch country of origin india stylish digital design: features a sleek rectangular shape with a bright led display for easy time reading anytime, anywhere. compact & portable: lightweight and pocket-sized, easily attachable to your bag, backpack, or keychain for on-the-go convenience. perfect for everyone: ideal for students, professionals, and travelers who need a practical yet fashionable way to keep track of time band colour: multicolor band material type: metal watch movement type: quartz item weight: 80 grams model name: square mini electronic watch country of origin: india"
"Bags, Wallets and Luggage > Travel Accessories > Keyrings & Keychains","Diet Cokke Mini Can Keychain with Silver Star Charm, Novelty Bag Accessory",Shivyansh 2 Enterprise,₹174,"show off your fun and quirky side with this adorable diet coke miniature can keychain, complete with a sleek silver star charm. this charming keychain features a tiny, highly detailed replica of a diet cokke can paired with a shiny four-pointed star pendant, both suspended from a sturdy silver-toned lobster clasp. the lobster clasp makes it incredibly easy to attach to your keys, bag, or backpack, keeping your belongings stylishly accessorised at all times. perfect for soda lovers and pop culture enthusiasts alike, this keychain makes for a delightful gift or a fun personal accessory. the silver-toned metallic finish gives it a polished, trendy look that complements any style. whether you are looking to add a playful touch to your everyday carry or searching for a unique gift for a friend, this diet coke keychain charm is sure to spark conversations and bring a smile to anyone's face. a must-have collectible for those who love cute and novelty accessories!. colour multicolour item shape irregular material resin, metal, zinc style cute / quirky / y2k country of origin india unique design: features a miniature diet cokke can charm paired with a sleek silver star charm for a fun, trendy look. stylish accessory: perfect for adding a playful touch to your keys, bags, backpacks, or purses. secure clasp: comes with a sturdy silver-toned lobster clasp that keeps the keychain firmly attached to your belongings. great gift idea: makes a wonderful gift for diet coke lovers and those who enjoy quirky, novelty accessories","{""Colour"": ""Multicolour"", ""Item shape"": ""Irregular"", ""Material"": ""Resin, Metal, Zinc"", ""Style"": ""Cute / Quirky / Y2k"", ""Country of Origin"": ""India""}",2,9,In Stock,https://m.media-amazon.com/images/I/41vQhdT3nRL.jpg,https://m.media-amazon.com/images/I/41vQhdT3nRL._AC_UL320_.jpg,"Bags, Wallets and Luggage",Travel Accessories,Keyrings & Keychains,,,,,,Keyrings & Keychains,174,9,"diet cokke mini can keychain with silver star charm, novelty bag accessory shivyansh 2 enterprise keyrings & keychains show off your fun and quirky side with this adorable diet coke miniature can keychain, complete with a sleek silver star charm. this charming keychain features a tiny, highly detailed replica of a diet cokke can paired with a shiny four-pointed star pendant, both suspended from a sturdy silver-toned lobster clasp. the lobster clasp makes it incredibly easy to attach to your keys, bag, or backpack, keeping your belongings stylishly accessorised at all times. perfect for soda lovers and pop culture enthusiasts alike, this keychain makes for a delightful gift or a fun personal accessory. the silver-toned metallic finish gives it a polished, trendy look that complements any style. whether you are looking to add a playful touch to your everyday carry or searching for a unique gift for a friend, this diet coke keychain charm is sure to spark conversations and bring a smile to anyone's face. a must-have collectible for those who love cute and novelty accessories!. colour multicolour item shape irregular material resin, metal, zinc style cute / quirky / y2k country of origin india unique design: features a miniature diet cokke can charm paired with a sleek silver star charm for a fun, trendy look. stylish accessory: perfect for adding a playful touch to your keys, bags, backpacks, or purses. secure clasp: comes with a sturdy silver-toned lobster clasp that keeps the keychain firmly attached to your belongings. great gift idea: makes a wonderful gift for diet coke lovers and those who enjoy quirky, novelty accessories colour: multicolour item shape: irregular material: resin, metal, zinc style: cute / quirky / y2k country of origin: india"
